
"Data da Carga da Base";"Exercício Financeiro (Lan-Ef)";"Ação (código)";"Ação (nome)";"Plano Orçamentário (código)";"Plano Orçamentário (nome)";"Grupo de Despesa (código)";"Grupo de Despesa (nome)";"Resultado Lei (código)";"Resultado Lei (nome)";"Modalidade de Aplicação (código)";"Modalidade de Aplicação (nome)";"Fonte (código)";"Fonte (nome)";"Valor dotação inicial";"Valor dotação atualizada";"Valor Total Empenhado";"Valor Liquidado";"Valor Pago"
"04/06/22";"2022";"00S6";"BENEFICIO ESPECIAL E DEMAIS COMPLEMENTACOES DE APOSENTADORIA";"0001";"BENEFICIO ESPECIAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"51";"RECURSOS LIVRES DA SEGURIDADE SOCIAL";"350005,00";"350005,00";"90475,83";"48446,75";"48446,75"
"04/06/22";"2022";"0181";"APOSENTADORIAS E PENSOES CIVIS DA UNIAO";" -";" -";"1";"PESSOAL E ENCARGOS SOCIAIS";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"51";"RECURSOS LIVRES DA SEGURIDADE SOCIAL";"1794157995,00";"1794157995,00";"1698330498,13";"605192773,80";"605192773,80"
"04/06/22";"2022";"0181";"APOSENTADORIAS E PENSOES CIVIS DA UNIAO";" -";" -";"1";"PESSOAL E ENCARGOS SOCIAIS";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"56";"CONTRIB.DO SERV.PARA O PLANO SEG.SOC.SERV.PUB";"140744008,00";"140744008,00";"140744008,00";"64239224,51";"64239224,51"
"04/06/22";"2022";"0181";"APOSENTADORIAS E PENSOES CIVIS DA UNIAO";" -";" -";"1";"PESSOAL E ENCARGOS SOCIAIS";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"69";"CONTR.PATRONAL PARA O PLANO SEG.SOC.SERV.PUB.";"195574364,00";"195574364,00";"195574364,00";"195429988,83";"195429988,83"
"04/06/22";"2022";"0397";"APOSENTADORIAS E PENSOES DO EXTINTO INSTITUTO DE PREVIDENCIA";" -";" -";"1";"PESSOAL E ENCARGOS SOCIAIS";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"51";"RECURSOS LIVRES DA SEGURIDADE SOCIAL";"21548845,00";"21548845,00";"20321479,04";"8487983,88";"8487983,88"
"04/06/22";"2022";"09HB";"CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O";" -";" -";"1";"PESSOAL E ENCARGOS SOCIAIS";"0";"FINANCEIRO";"91";"APLICACOES DIRETAS - OPERACOES INTERNAS";"00";"RECURSOS ORDINARIOS";"193575599,00";"193575599,00";"191767495,29";"71757714,44";"71757714,44"
"04/06/22";"2022";"0Z00";"RESERVA DE CONTINGENCIA - FINANCEIRA";"0001";"CPSS DECORRENTE DO ATENDIMENTO DO ART. 169, ? 1., INCISO II DA CONSTITUICAO FEDERAL - FINANCEIRA";"1";"PESSOAL E ENCARGOS SOCIAIS";"0";"FINANCEIRO";"91";"APLICACOES DIRETAS - OPERACOES INTERNAS";"00";"RECURSOS ORDINARIOS";"262201,00";"262201,00";"0,00";"0,00";"0,00"
"04/06/22";"2022";"0Z01";"RESERVA DE CONTINGENCIA FISCAL - PRIMARIA";" -";" -";"9";"RESERVA DE CONTINGENCIA";"2";"PRIMARIO DISCRICIONARIO";"99";"RESERVA DE CONTINGENCIA";"88";"RECURSOS FINANCEIROS DE LIVRE APLICACAO";"138512099,00";"138512099,00";"0,00";"0,00";"0,00"
"04/06/22";"2022";"0Z01";"RESERVA DE CONTINGENCIA FISCAL - PRIMARIA";"0001";"RECURSOS PARA ATENDIMENTO DO ART. 169, ? 1., INCISO II DA CONSTITUICAO FEDERAL, ANEXO V DA LOA - PRIMARIA";"1";"PESSOAL E ENCARGOS SOCIAIS";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"4463386,00";"4463386,00";"0,00";"0,00";"0,00"
"04/06/22";"2022";"2004";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR";"0001";"ASSISTENCIA MEDICA E ODONTOLOGICA DE CIVIS - COMPLEMENTACAO DA UNIAO";"3";"OUTRAS DESPESAS CORRENTES";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"51";"RECURSOS LIVRES DA SEGURIDADE SOCIAL";"198209790,00";"194986790,00";"169040775,58";"121841731,83";"121780128,17"
"04/06/22";"2022";"2004";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR";"0001";"ASSISTENCIA MEDICA E ODONTOLOGICA DE CIVIS - COMPLEMENTACAO DA UNIAO";"3";"OUTRAS DESPESAS CORRENTES";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"70";"REC.PROPRIOS PRIMARIOS APLICACAO ESPECIFICA";"4154652,00";"4154652,00";"11304,83";"11304,83";"11304,83"
"04/06/22";"2022";"2004";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR";"0001";"ASSISTENCIA MEDICA E ODONTOLOGICA DE CIVIS - COMPLEMENTACAO DA UNIAO";"4";"INVESTIMENTOS";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"51";"RECURSOS LIVRES DA SEGURIDADE SOCIAL";"500000,00";"500000,00";"0,00";"0,00";"0,00"
"04/06/22";"2022";"2004";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR";"0002";"EXAMES PERIODICOS - CIVIS";"3";"OUTRAS DESPESAS CORRENTES";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"51";"RECURSOS LIVRES DA SEGURIDADE SOCIAL";"396014,00";"396014,00";"0,00";"0,00";"0,00"
"04/06/22";"2022";"2004";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR";"CV19";"CORONAVIRUS (COVID-19)";"3";"OUTRAS DESPESAS CORRENTES";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"51";"RECURSOS LIVRES DA SEGURIDADE SOCIAL";"0,00";"3223000,00";"1012180,00";"598780,00";"598780,00"
"04/06/22";"2022";"20TP";"ATIVOS CIVIS DA UNIAO";" -";" -";"1";"PESSOAL E ENCARGOS SOCIAIS";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"1416357996,59";"1416357996,59";"1416357996,59";"598872591,83";"598872581,83"
"04/06/22";"2022";"20TP";"ATIVOS CIVIS DA UNIAO";" -";" -";"1";"PESSOAL E ENCARGOS SOCIAIS";"1";"PRIMARIO OBRIGATORIO";"91";"APLICACOES DIRETAS - OPERACOES INTERNAS";"00";"RECURSOS ORDINARIOS";"111899845,41";"111899845,41";"90443531,69";"37092226,20";"37092226,20"
"04/06/22";"2022";"212B";"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI";"0001";"ASSISTENCIA PRE-ESCOLAR AOS DEPENDENTES DE SERVIDORES CIVIS E DE EMPREGADOS";"3";"OUTRAS DESPESAS CORRENTES";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"11669908,00";"11669908,00";"10684116,26";"4423593,18";"4423593,18"
"04/06/22";"2022";"212B";"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI";"0003";"AUXILIO-TRANSPORTE DE CIVIS ATIVOS";"3";"OUTRAS DESPESAS CORRENTES";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"767483,00";"671483,00";"325148,64";"115716,34";"115716,34"
"04/06/22";"2022";"212B";"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI";"0005";"AUXILIO-ALIMENTACAO DE CIVIS ATIVOS";"3";"OUTRAS DESPESAS CORRENTES";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"70583916,00";"70583916,00";"70385081,00";"29655598,54";"29655598,54"
"04/06/22";"2022";"212B";"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI";"0009";"AUXILIO-FUNERAL E NATALIDADE DE CIVIS";"3";"OUTRAS DESPESAS CORRENTES";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"3984358,00";"3984358,00";"3066687,71";"1212562,30";"1153543,00"
"04/06/22";"2022";"212B";"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI";"0059";"SALARIO-FAMILIA E AUXILIO-RECLUSAO";"3";"OUTRAS DESPESAS CORRENTES";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"0,00";"96000,00";"65248,79";"65248,79";"65248,79"
"04/06/22";"2022";"216H";"AJUDA DE CUSTO PARA MORADIA OU AUXILIO-MORADIA A AGENTES PUB";" -";" -";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"660000,00";"660000,00";"83850,85";"83849,85";"83849,85"
"04/06/22";"2022";"219I";"PUBLICIDADE INSTITUCIONAL E DE UTILIDADE PUBLICA";" -";" -";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"50000000,00";"50000000,00";"0,00";"0,00";"0,00"
"04/06/22";"2022";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"0001";"ADMINISTRACAO LEGISLATIVA";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"508779725,73";"508779725,73";"273958750,16";"80785482,52";"79996862,50"
"04/06/22";"2022";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"0001";"ADMINISTRACAO LEGISLATIVA";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"50";"REC.PROPRIOS PRIMARIOS DE LIVRE APLICACAO";"3207084,00";"2979084,00";"11372,75";"11372,75";"11372,75"
"04/06/22";"2022";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"0001";"ADMINISTRACAO LEGISLATIVA";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"91";"APLICACOES DIRETAS - OPERACOES INTERNAS";"00";"RECURSOS ORDINARIOS";"496226,27";"496226,27";"274311,27";"14135,17";"14135,17"
"04/06/22";"2022";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"0001";"ADMINISTRACAO LEGISLATIVA";"4";"INVESTIMENTOS";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"48359049,00";"48359049,00";"16344246,39";"962363,69";"959026,41"
"04/06/22";"2022";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"0001";"ADMINISTRACAO LEGISLATIVA";"4";"INVESTIMENTOS";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"50";"REC.PROPRIOS PRIMARIOS DE LIVRE APLICACAO";"12828335,00";"10424735,00";"1665122,49";"249513,35";"247863,10"
"04/06/22";"2022";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"0001";"ADMINISTRACAO LEGISLATIVA";"4";"INVESTIMENTOS";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"63";"REC.PROP.DECOR.ALIEN.BENS E DIR.DO PATR.PUB.";"160000,00";"160000,00";"0,00";"0,00";"0,00"
"04/06/22";"2022";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"0004";"GESTAO DO SISTEMA DE INFORMATICA";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"40962931,00";"40962931,00";"21788474,87";"7646821,35";"7639138,79"
"04/06/22";"2022";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"0004";"GESTAO DO SISTEMA DE INFORMATICA";"4";"INVESTIMENTOS";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"30143890,00";"30143890,00";"3770268,85";"426967,37";"426967,37"
"04/06/22";"2022";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"0006";"PRODUCAO E DISTRIBUICAO DE DOCUMENTOS LEGISLATIVOS";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"21650436,00";"21650436,00";"15806836,53";"4159028,69";"4119364,44"
"04/06/22";"2022";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"0006";"PRODUCAO E DISTRIBUICAO DE DOCUMENTOS LEGISLATIVOS";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"50";"REC.PROPRIOS PRIMARIOS DE LIVRE APLICACAO";"0,00";"228000,00";"215403,08";"1541,51";"1541,51"
"04/06/22";"2022";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"0006";"PRODUCAO E DISTRIBUICAO DE DOCUMENTOS LEGISLATIVOS";"4";"INVESTIMENTOS";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"315800,00";"315800,00";"0,00";"0,00";"0,00"
"04/06/22";"2022";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"000C";"DISSEMINACAO DE CONHECIMENTOS LEGISLATIVOS E GERENCIAIS";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"6211587,00";"6211587,00";"269253,25";"199574,53";"199574,53"
"04/06/22";"2022";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"000D";"MODERNIZACAO E ADEQUACAO DA ACESSIBILIDADE NO COMPLEXO ARQUITETONICO";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"3807018,00";"3807018,00";"2081409,33";"577349,13";"568637,06"
"04/06/22";"2022";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"000D";"MODERNIZACAO E ADEQUACAO DA ACESSIBILIDADE NO COMPLEXO ARQUITETONICO";"4";"INVESTIMENTOS";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"1027843,00";"1027843,00";"0,00";"0,00";"0,00"
"04/06/22";"2022";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"000D";"MODERNIZACAO E ADEQUACAO DA ACESSIBILIDADE NO COMPLEXO ARQUITETONICO";"4";"INVESTIMENTOS";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"50";"REC.PROPRIOS PRIMARIOS DE LIVRE APLICACAO";"0,00";"2403600,00";"2403584,99";"0,00";"0,00"
"04/06/22";"2022";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"000E";"FUNCIONAMENTO DA INSTITUICAO FISCAL INDEPENDENTE (IFI)";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"58230,00";"58230,00";"0,00";"0,00";"0,00"
"04/06/22";"2022";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"000F";"COMUNICACAO E DIVULGACAO INSTITUCIONAL";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"64980373,08";"64980373,08";"55177416,04";"16249242,31";"16212683,69"
"04/06/22";"2022";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"000F";"COMUNICACAO E DIVULGACAO INSTITUCIONAL";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"91";"APLICACOES DIRETAS - OPERACOES INTERNAS";"00";"RECURSOS ORDINARIOS";"649232,92";"649232,92";"410253,70";"164317,47";"164317,47"
"04/06/22";"2022";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"000F";"COMUNICACAO E DIVULGACAO INSTITUCIONAL";"4";"INVESTIMENTOS";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"1080100,00";"1080100,00";"418365,13";"4842,00";"2600,00"
"04/06/22";"2022";"4236";"APRECIACAO E JULGAMENTO DE CAUSAS";"0001";"JULGAMENTO DE PROCESSOS";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"204035,20";"204035,20";"204035,20";"204035,20";"204035,20"
"04/06/22";"2021";"00OQ";"CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P";"0001";"CONTRIBUICAO A ASSOCIACAO DOS SECRETARIOS-GERAIS DO PARLAMENTO - ASPG";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"80";"TRANSFERENCIAS AO EXTERIOR";"00";"RECURSOS ORDINARIOS";"6723,00";"13723,00";"11854,71";"11854,71";"11854,71"
"04/06/22";"2021";"00OQ";"CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P";"0002";"CONTRIBUICAO A FEDERACAO INTERNACIONAL DAS ASSOCIACOES E INSTITUICOES BIBLIOTECARIAS - IFLA";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"80";"TRANSFERENCIAS AO EXTERIOR";"00";"RECURSOS ORDINARIOS";"4957,00";"4957,00";"4619,45";"4619,45";"4619,45"
"04/06/22";"2021";"00OQ";"CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P";"0005";"CONTRIBUICAO AO CONSELHO INTERNACIONAL DE ARQUIVOS - ICA";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"80";"TRANSFERENCIAS AO EXTERIOR";"00";"RECURSOS ORDINARIOS";"1761,00";"3061,00";"1928,99";"1928,99";"1928,99"
"04/06/22";"2021";"00OQ";"CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P";"000S";"CONTRIBUICAO AO PARLAMENTO LATINO-AMERICANO";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"80";"TRANSFERENCIAS AO EXTERIOR";"00";"RECURSOS ORDINARIOS";"254732,00";"254732,00";"210559,95";"210559,95";"210559,95"
"04/06/22";"2021";"00OQ";"CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P";"000T";"CONTRIBUICAO A UNIAO INTERPARLAMENTAR";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"80";"TRANSFERENCIAS AO EXTERIOR";"00";"RECURSOS ORDINARIOS";"1392718,00";"1384418,00";"1287199,19";"1287199,19";"1287199,19"
"04/06/22";"2021";"00PW";"CONTRIBUICOES A ENTIDADES NACIONAIS SEM EXIGENCIA DE PROGRAM";"0001";"CONTRIBUICAO A ASSOCIACAO BRASILEIRA DAS ESCOLAS DO LEGISLATIVO E DE CONTAS - ABEL";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"50";"TRANSFERENCIA INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS";"00";"RECURSOS ORDINARIOS";"11250,00";"11250,00";"9000,00";"9000,00";"9000,00"
"04/06/22";"2021";"00PW";"CONTRIBUICOES A ENTIDADES NACIONAIS SEM EXIGENCIA DE PROGRAM";"0002";"CONTRIBUICAO A UNIAO NACIONAL DAS INSTITUICOES DE AUTOGESTAO EM SAUDE - UNIDAS";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"50";"TRANSFERENCIA INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS";"00";"RECURSOS ORDINARIOS";"78276,00";"78276,00";"62196,00";"62196,00";"62196,00"
"04/06/22";"2021";"00PW";"CONTRIBUICOES A ENTIDADES NACIONAIS SEM EXIGENCIA DE PROGRAM";"0003";"CONTRIBUICAO A ASSOCIACAO BRASILEIRA DE TELEVISOES E RADIOS LEGISLATIVAS - ASTRAL";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"50";"TRANSFERENCIA INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS";"00";"RECURSOS ORDINARIOS";"17500,00";"17500,00";"14000,00";"14000,00";"14000,00"
