ÚLTIMA ATUALIZAÇÃO;01/06/2022 05:34                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
NOME;ESTADO;PARTIDO;SETOR;ENDEREÇO;TELEFONE;FAX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ROBERTO ROCHA;MA;PTB;Escritório de Apoio 1 do Senador Roberto Rocha;RUA DA NEBLINA, 30. CALHAU, SÃO LUIS, MA. CEP:65071-520;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
RODRIGO PACHECO;MG;PSD;Escritório de Apoio do Senador Rodrigo Pacheco;RUA MINISTRO OROZIMBO NONATO, 442. SALAS 1209 A 1212 - COND. E-OFFICE. VILA DA SERRA, NOVA LIMA, MG. CEP:34006-053;(31) 3581-4449;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ROGÉRIO CARVALHO;SE;PT;Escritório de Apoio nº 01 do Senador Rogério Carvalho;AVENIDA MINISTRO GERALDO BARRETO SOBRAL, 2100. EDIFÍCIO JFC TRADE CENTER, 13º ANDAR, SALA 1301. JARDINS, ARACAJU, SE. CEP:49026-010;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ROMÁRIO;RJ;PL;Escritório de Apoio 1 do Senador Romário;AVENIDA DAS AMÉRICAS, 3500. SALA 130, ED. HONG KONG. BARRA DA TIJUCA, RIO DE JANEIRO, RJ. CEP:22640102;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ROSE DE FREITAS;ES;MDB;Escritório de Apoio 1 da Senadora Rose de Freitas;AVENIDA JOÃO BAPTISTA PARRA, 673. ED. ENSEADA TOWER - SL. 701/702-A. PRAIA DO SUÁ, VITÓRIA, ES. CEP:29052-123;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
SÉRGIO PETECÃO;AC;PSD;Escritório de Apoio do Senador Sérgio Petecão;VIA CHICO MENDES, KM, 1. TRIÂNGULO NOVO, RIO BRANCO, AC. CEP:69906-000;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
SIMONE TEBET;MS;MDB;Escritório de Apoio nº 01 da Senadora Simone Tebet;RUA RUA ALAGOAS, 396, 396. ED.ATRIUM CORPORATE, SALAS 1004/1005. JARDIM DOS ESTADOS, CAMPO GRANDE, MS. CEP:79020-120;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
SORAYA THRONICKE;MS;UNIÃO;Escritório de Apoio nº 1 da Senadora Soraya Thronicke;AVENIDA PROFESSOR LUIZ ALEXANDRE DE OLIVEIRA, 879. SALA 01. ROYAL PARK, CAMPO GRANDE, MS. CEP:79021-430;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
SORAYA THRONICKE;MS;UNIÃO;Escritório de Apoio nº 2 da Senadora Soraya Thronicke;AVENIDA GETÚLIO VARGAS, 1403. SALA 02. PARANÁIBA, MS. CEP:79500-000;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
STYVENSON VALENTIM;RN;PODEMOS;Escritório de Apoio nº 01 do Senador Styvenson Valentim;AVENIDA AFONSO PENA, 1206. TIROL, NATAL, RN. CEP:59020-265;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
TASSO JEREISSATI;CE;PSDB;Escritório de Apoio do Senador Tasso Jereissati;AVENIDA WASHINGTON SOARES, 55. SALA 303, ED. IGUATEMI EMPRESARIAL. FORTALEZA, CE. CEP:60811-341;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
